Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,14492.75,14530.5,14456.9,14502.6,1052747053,13965.84
29-AUG-2023,14542.45,14572.45,14524.55,14559.3,1057649311,16839.83
30-AUG-2023,14624.8,14675.85,14620.1,14654.45,834694622,15694.05
31-AUG-2023,14704.5,14728.65,14625.55,14693.85,1825164017,44355.37
01-SEP-2023,14719.35,14820.25,14679.6,14810.15,2262928236,20335.4
04-SEP-2023,14880.4,14958.9,14810.15,14935.05,2282094761,21322.8
05-SEP-2023,14998.45,15114.9,14935.05,15100.7,1859364609,22986.29
06-SEP-2023,15146.3,15146.75,15063.4,15104.05,1263411175,17221.7
07-SEP-2023,15135.25,15209.65,15104.05,15200.05,1182333982,15740.82
08-SEP-2023,15250.25,15351.15,15246.45,15341.05,1274633835,19049.58
11-SEP-2023,15431.5,15513.75,15410.65,15504.9,1693014803,20311.86
12-SEP-2023,15598.5,15599.05,15027,15045.1,2027405237,24433.54
13-SEP-2023,15038.2,15114.05,14836.15,15063.55,1550108388,19879
14-SEP-2023,15142.15,15222.15,15122.75,15204.15,1128539263,16663.71
15-SEP-2023,15279.55,15298.25,15194.05,15222.7,1655925937,20396.55
18-SEP-2023,15251.1,15252.4,15159.4,15168.65,1735698134,16441.82
20-SEP-2023,15122.8,15183.05,15057.25,15121.1,1024080770,14973.81
21-SEP-2023,15100.5,15164.7,14961.1,14990.9,966000015,14011.95
22-SEP-2023,15013.55,15062.45,14892.85,14975.5,1082288343,13557.35
25-SEP-2023,15002.65,15071.7,14891.1,15054.85,887272221,14975.15
26-SEP-2023,15068.95,15105.65,15022.1,15045.6,1057570460,12603.51
27-SEP-2023,15074.5,15168.85,15039.55,15158.3,1070405039,15062.65
28-SEP-2023,15196.5,15205.35,14970.55,14985.5,1129420861,18847.96
29-SEP-2023,15043.85,15186.35,15003.8,15141.05,851919244,16397.32
03-OCT-2023,15156.8,15194.9,15089.05,15180.45,868149920,14176.6
04-OCT-2023,15148.15,15151.05,14888.25,14984.95,987123054,14831.65
05-OCT-2023,15053.6,15104.85,14965.35,14975.7,678315033,11704.9
06-OCT-2023,15034.3,15074.75,15002.2,15063.5,643100735,11539.83
09-OCT-2023,14926.3,14959.75,14832.75,14861.5,962099393,12546.54
10-OCT-2023,14925.35,15061.2,14924.7,15046.4,651390938,14052.05
11-OCT-2023,15134.6,15205.25,15111.5,15121.55,886071166,14132.2
12-OCT-2023,15182.1,15205.15,15142.9,15158.1,657750205,12455.45
13-OCT-2023,15112.8,15189.7,15088.85,15141.35,844056853,12394.85
16-OCT-2023,15166.2,15202.1,15129.75,15167.45,675986642,12827.36
17-OCT-2023,15248.35,15270.65,15208.5,15234.35,919621670,15020.24
18-OCT-2023,15258.7,15274.1,15100.95,15125.75,712430507,15089.27
19-OCT-2023,15073.6,15122.2,14989.65,15106.95,685133975,13170.18
20-OCT-2023,15087.15,15111.85,14923.95,14963.1,844756811,15124.17
23-OCT-2023,14972.95,14999.8,14512.2,14557.1,1066615062,17337.63
25-OCT-2023,14606.75,14653.05,14326.5,14470.25,979466578,15054.7
26-OCT-2023,14390.3,14400,14133.3,14305.25,960910494,16790.12
27-OCT-2023,14399,14561.9,14398.85,14513.7,764476724,13180.01
30-OCT-2023,14547.65,14557.8,14403,14533.4,956651979,13981.68
31-OCT-2023,14607.35,14658.95,14556.15,14566.3,763612332,11938.2
01-NOV-2023,14604.15,14612.95,14529.2,14545.1,1399723763,12856.09
02-NOV-2023,14638.9,14729.55,14637.5,14718.5,1159913060,14581.74
03-NOV-2023,14813.65,14841.25,14780.45,14819.1,1187969938,13642.71
06-NOV-2023,14917,14964.7,14887.9,14953.75,691089759,14111.35
07-NOV-2023,14987.6,15023.7,14940.4,14994.1,797451561,14578.86
08-NOV-2023,15070.45,15149.7,15066,15138.7,1056308113,15339.04
09-NOV-2023,15174.15,15199.8,15132,15142.8,1158419453,15175.49
10-NOV-2023,15136.45,15212.9,15058.2,15199.15,821293508,12717.43
12-NOV-2023,15322.4,15342.15,15287,15298.95,188498587,2337.14
13-NOV-2023,15284.85,15309.7,15223.15,15292.2,1165777456,15202.77
