Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-AUG-2023,19298.35,19366.85,19249.7,19306.05,248178769,18237.22
29-AUG-2023,19374.85,19377.9,19309.1,19342.65,307388116,22501.12
30-AUG-2023,19433.45,19452.8,19334.75,19347.45,233004568,19877.49
31-AUG-2023,19375.55,19388.2,19223.65,19253.8,562557215,45699.54
01-SEP-2023,19258.15,19458.55,19255.7,19435.3,372502191,25962.38
04-SEP-2023,19525.05,19545.15,19432.85,19528.8,396071122,24822.79
05-SEP-2023,19564.65,19587.05,19525.75,19574.9,303958622,24029.89
06-SEP-2023,19581.2,19636.45,19491.5,19611.05,512974083,32500.52
07-SEP-2023,19598.65,19737,19550.05,19727.05,304929822,23591
08-SEP-2023,19774.8,19867.15,19728.05,19819.95,288093693,23530.84
11-SEP-2023,19890,20008.15,19865.35,19996.35,248763130,21924.34
12-SEP-2023,20110.15,20110.35,19914.65,19993.2,328064239,30110.8
13-SEP-2023,19989.5,20096.9,19944.1,20070,251394599,24332.36
14-SEP-2023,20127.95,20167.65,20043.45,20103.1,275111881,21902.65
15-SEP-2023,20156.45,20222.45,20129.7,20192.35,438185104,42681.35
18-SEP-2023,20155.95,20195.35,20115.7,20133.3,264870758,21135.95
20-SEP-2023,19980.75,20050.65,19878.85,19901.4,378065882,37351.58
21-SEP-2023,19840.55,19848.75,19709.95,19742.35,275132260,26711.83
22-SEP-2023,19744.85,19798.65,19657.5,19674.25,246410075,24137.57
25-SEP-2023,19678.2,19734.15,19601.55,19674.55,188398392,20194.48
26-SEP-2023,19682.8,19699.35,19637.45,19664.7,204869058,18118.19
27-SEP-2023,19637.05,19730.7,19554,19716.45,203559874,19659.17
28-SEP-2023,19761.8,19766.65,19492.1,19523.55,352810261,30069.78
29-SEP-2023,19581.2,19726.25,19551.05,19638.3,243508919,20978.72
03-OCT-2023,19622.4,19623.2,19479.65,19528.75,221719625,21459.58
04-OCT-2023,19446.3,19457.8,19333.6,19436.1,277148310,26017.47
05-OCT-2023,19521.85,19576.95,19487.3,19545.75,234865323,22019.04
06-OCT-2023,19621.2,19675.75,19589.4,19653.5,159051277,16096.52
09-OCT-2023,19539.45,19588.95,19480.5,19512.35,165094800,15499.67
